Raters Group,Rater ID,Certificate ID,FirstName,LastName,Email,Q1_ما مدى معرفتك بمفهوم البنية المؤسسية؟_ما مدى معرفتك بمفهوم البنية المؤسسية؟,Q2_ما مدى وضوح أهداف البنية المؤسسية بالنسبة لك ؟_ما مدى وضوح أهداف البنية المؤسسية بالنسبة لك ؟,Q3_ما مدى ارتباط البنية المؤسسية بعملك اليومي؟_ما مدى ارتباط البنية المؤسسية بعملك اليومي؟,Q4_أي من العناصر التالية تعتقد أنه الأكثر أهمية في نجاح البنية المؤسسية ؟_أي من العناصر التالية تعتقد أنه الأكثر أهمية في نجاح البنية المؤسسية ؟,Q5_ما التحدي الأكبر الذي تتوقع أن تواجهه عند تطبيق مفاهيم البنية المؤسسية في الهيئة؟_ما التحدي الأكبر الذي تتوقع أن تواجهه عند تطبيق مفاهيم البنية المؤسسية في الهيئة؟,Q5_ما التحدي الأكبر الذي تتوقع أن تواجهه عند تطبيق مفاهيم البنية المؤسسية في الهيئة؟_ما التحدي الأكبر الذي تتوقع أن تواجهه عند تطبيق مفاهيم البنية المؤسسية في الهيئة؟_Comments,Q6_هل سبق لك المشاركة في أي برامج أو ورش تتعلق بالبنية المؤسسية؟_هل سبق لك المشاركة في أي برامج أو ورش تتعلق بالبنية المؤسسية؟,Q7_ما الطريقة التي تفضلها للتدريب حول البنية المؤسسية؟_ما الطريقة التي تفضلها للتدريب حول البنية المؤسسية؟
GroupCaption,RaterID,CertificateID,Rater_FirstName,Rater_LastName,Rater_FullEmail,Q1Row1,Q2Row1,Q3Row1,Q4Row1,Q5Row1,Q5Comment1,Q6Row1,Q7Row1
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غير واضحة تمامًا,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,لها علاقة بسيطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة تمامًا,لها علاقة متوسطة بعملي,دعم الإدارة العليا والحوكمة الفعالة,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لها علاقة بسيطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"نعم، وحصلت على تدريب متكامل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة تمامًا,لا علاقة لها بعملي,دعم الإدارة العليا والحوكمة الفعالة,نقص الوعي حولها,,"نعم، وحصلت على تدريب متكامل",ورش عمل
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,جزء أساسي من عملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,غير ذلك,المركزيه الموجوده في الهيئه واتخاذ القرارات ,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غيرواضحة إلى حد ما ,لها علاقة بسيطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,جزء أساسي من عملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لها علاقة بسيطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة جزئيًا,لها علاقة متوسطة بعملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"نعم، لكن المعلومات التي تلقيتها محدودة","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,لها علاقة متوسطة بعملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"نعم، لكن المعلومات التي تلقيتها محدودة",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,جزء أساسي من عملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,غيرواضحة إلى حد ما ,جزء أساسي من عملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,لها علاقة بسيطة بعملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,دعم الإدارة العليا والحوكمة الفعالة,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,لها علاقة بسيطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",ورش عمل
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,جزء أساسي من عملي,دعم الإدارة العليا والحوكمة الفعالة,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة جيدة وأطبقه في عملي,واضحة تمامًا,جزء أساسي من عملي,جميع ماسبق,ضعف الأدوات والتقنيات,,"نعم، وحصلت على تدريب متكامل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,لم أسمع به من قبل,غير واضحة تمامًا,لا علاقة لها بعملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل","مواد تعليمية مثل (مقالات، فيديوهات)"
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,لها علاقة متوسطة بعملي,الأدوات والتقنيات المناسبة,مقاومة التغيير ,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,غيرواضحة إلى حد ما ,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,سمعت عنه ولكن لا أعرف التفاصيل,غيرواضحة إلى حد ما ,جزء أساسي من عملي,جميع ماسبق,مقاومة التغيير ,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,غيرواضحة إلى حد ما ,لها علاقة متوسطة بعملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",دورات تدريبية
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"نعم، لكن المعلومات التي تلقيتها محدودة",ورش عمل
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,الثقافة المؤسسية,مقاومة التغيير ,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
Survey Group,,,N/A,N/A,N/A,لدي معرفة عامة عنه,واضحة جزئيًا,جزء أساسي من عملي,جميع ماسبق,نقص الوعي حولها,,"لا، لم أشارك من قبل",مزيج من الطرق المختلفة
